(2384, 2669)
(2340, 2692)
(4028, 853)
(542, 803)
(3714, 600)
(698, 1119)
(802, 814)
(3580, 705)
(867, 509)
(3582, 935)
(2194, 2046)
(1104, 624)
(4029, 955)
(2432, 2236)
(845, 419)
(3692, 1017)
(4231, 893)
(3839, 697)
(2654, 2805)
(2431, 2795)
(420, 723)
(743, 1078)
(3655, 653)
(2492, 2342)
(1067, 1059)
(4015, 393)
(559, 613)
(4304, 918)
(3919, 738)
(2440, 2870)
(2420, 2758)
(1001, 1024)
(2379, 1922)
(1945, 2186)
(709, 1085)
(4054, 426)
(528, 1037)
(839, 584)
(2786, 2850)
(902, 789)
(2014, 2317)
(643, 1092)
(2430, 2354)
(2357, 1877)
(2909, 2646)
(1007, 1029)
(2750, 2359)
(4183, 495)
(1988, 2813)
(2065, 2374)
(2048, 2833)
(1009, 775)
(3635, 883)
(3635, 1137)
(4481, 826)
(2431, 2249)
(410, 876)
(2786, 2669)
(4023, 885)
(2414, 2249)
(1990, 2425)
(1004, 782)
(1011, 582)
(1060, 576)
(4107, 596)
(2842, 2203)
(1036, 581)
(2101, 2883)
(1859, 2504)
(561, 682)
(2634, 1933)
(2683, 2317)
(724, 538)
(2265, 2468)
(4491, 764)
(2122, 2425)
(2363, 2013)
(628, 974)
(2080, 2866)
(1919, 2617)
(993, 782)
(2536, 2077)
(662, 781)
(565, 931)
(993, 557)
(1057, 766)
(4037, 1077)
(745, 857)
(2570, 2260)
(2291, 1990)
(2847, 2192)
(2697, 2431)
(2660, 2609)
(1823, 2496)
(2424, 2630)
(934, 514)
(1998, 2496)
(2601, 2531)
(4217, 503)
(602, 1103)
(2385, 1987)
(422, 780)
(1045, 791)
(817, 433)
(2361, 2064)
(3932, 309)
(4240, 883)
(2219, 2213)
(3862, 443)
(671, 573)
(4254, 627)
(4357, 889)
(3884, 1153)
(924, 709)
(2355, 1970)
(2276, 2920)
(3648, 1062)
(2052, 2553)
(2709, 2321)
(974, 640)
